# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /datadisk/git/multiplemerger-project/data_analysis_current/tempsfs.txt
# Phi Input: /datadisk/git/multiplemerger-project/data_analysis_current/phi_tables_psi/phi.table.ACBA_SFS.txt
# sampleSize: 78
# noDataSets: 1
# minPsi: 0
# maxPsi: 1
# noStepsPsi: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 6006
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	0	0	0	-30434.080125999811571	7356.7354799814402213	36707.415591986617073
1	0	0	0.01	-29270.566678732750006	7148.096691369582004	35921.490405535929312
1	0	0	0.02	-23526.302304870390799	6944.059773813009997	35149.306000075492193
1	0	0	0.03	-20229.007834518677555	6745.0423587828854579	34377.121594615033246
1	0	0	0.04	-18078.609186691523064	6551.5019001470918738	33604.937189154596126
1	0	0	0.05	-16614.050658103602473	6363.9381140811501609	32832.752783694129903
1	0	0	0.06	-15610.566203803871758	6182.894948035807829	32060.568378233707335
1	0	0	0.07	-14939.637449662317522	6008.9618074511736268	31288.597611751611112
1	0	0	0.08	-14520.203822243900504	5842.7737004555647218	30518.262749583558616
1	0	0	0.09	-14297.594983960967511	5685.0098920258487851	29747.92788741550612
1	0	0	0.1	-14233.094960346119478	5536.3906000657589175	28977.593025247449987
1	0	0	0.11	-14298.248179686604999	5397.6712318303889333	28207.258163079404767
1	0	0	0.12	-14471.520197314734105	5269.6336707337177359	27437.157078282911243
1	0	0	0.13	-14736.226163760700729	5153.0742054524898776	26706.766587118116149
1	0	0	0.14	-15079.186495399742853	5048.78787001764249	26025.075164623594901
1	0	0	0.15	-15489.821575547917746	4957.5492526391462889	25376.44628194780671
1	0	0.5	0	-42476.017862318316475	9541.0343875137659779	45113.218227495628526
1	0	0.5	0.01	-36548.162911258696113	9210.540447652214425	43845.913521292175574
1	0	0.5	0.02	-28813.271419964497909	8881.2186596707888384	42578.60881508870807
1	0	0.5	0.03	-24295.145421173656359	8553.2044178109972563	41311.304108885247842
1	0	0.5	0.04	-21283.020157810184173	8226.6541275155359472	40043.999402681758511
1	0	0.5	0.05	-19163.006860419991426	7901.7492901005853128	38776.694696478283731
1	0	0.5	0.06	-17637.183697812259197	7578.7015340605448728	37509.389990274838055
1	0	0.5	0.07	-16536.52893132600002	7257.7588434769622836	36242.085284071370552
1	0	0.5	0.08	-15755.296777977084275	6939.2133060379646849	34974.780577867910324
1	0	0.5	0.09	-15222.706602199061308	6623.4107959759267032	33707.47587166444282
1	0	0.5	0.1	-14888.974281063361559	6310.7631255448322918	32440.171165460953489
1	0	0.5	0.11	-14717.72978003253229	6001.7633467300447592	31172.866459257500537
1	0	0.5	0.12	-14681.594915799621958	5697.0050642857877392	29905.56175305404031
1	0	0.5	0.13	-14759.455222305899952	5397.2068261067634012	28638.257046850561892
1	0	0.5	0.14	-14934.699075468815863	5103.2428644910505682	27370.952340647098026
1	0	0.5	0.15	-15194.03801432059845	4816.1816133856546003	26103.647634443623247
1	0	1	0	-49314.403559505182784	11246.669601988600334	48019.739834956817504
1	0	1	0.01	-40543.178320101171266	10882.000612095860561	46694.651997435488738
1	0	1	0.02	-31940.002276749874	10518.419494640367702	45369.564159914203628
1	0	1	0.03	-26931.837389963271562	10156.043086114883408	44044.476322392954899
1	0	1	0.04	-23588.644157372997142	9795.0050958143328899	42719.388484871662513
